ID,Pred
2026_1101_1102,0.5724162376756835
2026_1101_1103,0.1356796372938712
2026_1101_1104,0.013359515028916908
2026_1101_1105,0.8236558999450782
2026_1101_1106,0.8268588866264742
2026_1101_1107,0.7206843647705646
2026_1101_1108,0.8829332730009034
2026_1101_1110,0.5916141357708445
2026_1101_1111,0.40322625796954936
2026_1101_1112,0.00874722708611476
2026_1101_1113,0.05037271744271579
2026_1101_1114,0.746552149079688
2026_1101_1115,0.8861555090020852
2026_1101_1116,0.02185331037158663
2026_1101_1117,0.32005408305582306
2026_1101_1119,0.7900145992509825
2026_1101_1120,0.034687937374383984
2026_1101_1122,0.39058617776712323
2026_1101_1123,0.5960358437581221
2026_1101_1124,0.05043640781161327
2026_1101_1125,0.08523553690040316
2026_1101_1126,0.6868807400277981
2026_1101_1127,0.8486384770590809
2026_1101_1129,0.0708449663566257
2026_1101_1130,0.16591738120707664
2026_1101_1131,0.6050398532297628
2026_1101_1132,0.36651791269896666
2026_1101_1133,0.14907822731535336
2026_1101_1135,0.5595946666967304
2026_1101_1136,0.7703962172125043
2026_1101_1137,0.7684846681010887
2026_1101_1138,0.47275689340234084
2026_1101_1139,0.08934556824394548
2026_1101_1140,0.023611152547967456
2026_1101_1141,0.545625791793133
2026_1101_1142,0.3955498864487303
2026_1101_1143,0.07609178736186191
2026_1101_1144,0.4091172896468861
2026_1101_1145,0.7486052602276396
2026_1101_1146,0.36372523130384354
2026_1101_1148,0.6426981510780646
2026_1101_1149,0.5918060766670623
2026_1101_1150,0.2507327505973579
2026_1101_1151,0.5767293553402733
2026_1101_1152,0.8384911340650311
2026_1101_1153,0.03628612998303105
2026_1101_1154,0.7198072983240392
2026_1101_1155,0.035001860515042706
2026_1101_1156,0.6271716925443154
2026_1101_1157,0.4210006120707266
2026_1101_1158,0.22562324189315122
2026_1101_1159,0.6337169792190532
2026_1101_1160,0.05844534834031192
2026_1101_1161,0.08878643844548242
2026_1101_1162,0.41333800863681797
2026_1101_1163,0.014424406884512478
2026_1101_1164,0.8769069502192998
2026_1101_1165,0.29756965340805264
2026_1101_1166,0.08325628480469487
2026_1101_1167,0.6739671366109972
2026_1101_1168,0.35575280034439366
2026_1101_1169,0.2905965793218091
2026_1101_1170,0.7099785493538672
2026_1101_1171,0.5076669603812947
