TeamID,City,State,gender,Latitude,Longitude
1101,Abilene,TX,M,32.44645,-99.7475905
1102,USAF Academy,CO,M,38.978759,-104.8643892
1103,Akron,OH,M,41.083064,-81.518485
1104,Tuscaloosa,AL,M,33.2095614,-87.5675258
1105,Normal,AL,M,34.7889792,-86.5719369
1106,Montgomery,AL,M,32.37742,-86.3091683
1107,Albany,NY,M,42.6511674,-73.754968
1108,Lorman,MS,M,31.8204396,-91.0501057
1110,Washington,DC,M,38.8950368,-77.0365427
1111,Boone,NC,M,36.2187873,-81.684004
1112,Tucson,AZ,M,32.2228765,-110.974847
1113,Tempe,AZ,M,33.4255117,-111.940016
1114,Little Rock,AR,M,34.7465071,-92.2896267
1115,Pine Bluff,AR,M,34.2228884,-92.004334
1116,Fayetteville,AR,M,36.0625843,-94.1574328
1117,Jonesboro,AR,M,35.8272257,-90.6949871
1119,West Point,NY,M,41.3558443,-74.00783122512726
1120,Auburn,AL,M,32.6098566,-85.4807825
1122,Clarksville,TN,M,36.5277607,-87.3588703
1123,Muncie,IN,M,40.1936892,-85.3865271
1124,Waco,TX,M,31.5491899,-97.1474628
1125,Nashville,TN,M,36.1622767,-86.7742984
1126,Daytona Beach,FL,M,29.2108147,-81.0228331
1127,Vestal,NY,M,42.0850703,-76.053813
1129,Boise,ID,M,43.6166163,-116.200886
1130,Chestnut Hill,MA,M,42.3306529,-71.1661647
1131,Boston,MA,M,42.3554334,-71.060511
1132,Bowling Green,OH,M,41.3747744,-83.6513229
1133,Peoria,IL,M,40.6938609,-89.5891008
1135,Providence,RI,M,41.8239891,-71.4128343
1136,Smithfield,RI,M,41.9220433,-71.549507
1137,Lewisburg,PA,M,40.9645337,-76.8847639
1138,Buffalo,NY,M,42.8867166,-78.8783922
1139,Indianapolis,IN,M,39.7683331,-86.1583502
1140,Provo,UT,M,40.2337289,-111.6587085
1141,Mt. Pleasant,MI,M,33.1570582,-94.9694007
1142,San Luis Obispo,CA,M,35.3540209,-120.375716
1143,Berkeley,CA,M,37.8708393,-122.272863
1144,Buies Creek,NC,M,35.412332500000005,-78.73665059608209
1145,Buffalo,NY,M,42.8867166,-78.8783922
1146,Conway,AR,M,35.0891932,-92.4398402
1147,Shreveport,LA,M,32.5135356,-93.7477839
1148,New Britain,CT,M,41.6612104,-72.7795419
1149,Charleston,SC,M,32.7884363,-79.9399309
1150,Charlotte,NC,M,35.2272086,-80.8430827
